Id,Area,AreaStr,Function,FunctionArea
2208,4,WuHou,住宅区,1
646,1,JingJiang,商业区,3
2027,4,WuHou,办公区,0
690,1,JingJiang,住宅区,1
1801,4,WuHou,医疗区,5
1893,4,WuHou,办公区,0
2072,4,WuHou,商业区,3
2077,4,WuHou,商业区,3
668,1,JingJiang,住宅区,1
292,0,ChengHua,住宅区,1
117,0,ChengHua,医疗区,5
2258,4,WuHou,住宅区,1
2299,4,WuHou,住宅区,1
2259,4,WuHou,住宅区,1
1380,3,QingYang,商业区,3
1416,3,QingYang,商业区,3
